seed,trial,x0_m,y0_m,x1_m,y1_m,force_target_N,duration_s,sample_hz,dt_s,samples
3832523084,1,-0.07473914783529802,-0.009661541900928411,-0.11579017074387148,0.1299939377238243,19.91515628332671,2.7317717300181004,50.0,0.02,138
3832523084,2,-0.05049659982448229,0.014289994477112267,0.01422423417473126,0.021613187571148273,22.986016052090495,4.650232259900543,50.0,0.02,234
3832523084,3,-0.1221260379180903,0.028140872962423513,-0.01835176506838132,-0.1357302994742894,25.032972081055966,4.858520802238834,50.0,0.02,244
3832523084,4,-0.027710435857720164,-0.031381501539729795,0.07548284596464758,0.05001584236260953,28.87515933167337,1.8726745758635284,50.0,0.02,95
3832523084,5,0.0661974480679896,0.05190725462488896,0.03909467300235314,-0.12490236065905053,25.473593635020244,3.3829449554084734,50.0,0.02,171
3832523084,6,-0.13632666797573206,0.05952371815276555,0.039052911913136035,0.09669509527180978,25.87157639204513,2.5503567053135274,50.0,0.02,129
3832523084,7,-0.11197108100645048,0.06405631688334468,-0.04295972902002221,0.08379075512385328,18.987775637962045,4.237953083308,50.0,0.02,213
3832523084,8,0.04094915786596115,0.13546971500501145,0.09282770961924525,-0.11977335227661519,13.782326757369665,1.471205476070371,50.0,0.02,75
3832523084,9,-0.08627152124380096,-0.0929526098044472,0.036749786005328494,-0.03810381524651818,22.20406298262568,2.811686512889519,50.0,0.02,142
3832523084,10,0.1261496642628729,-0.019133125679475504,0.02616239836760209,-0.13668494036468787,18.520322700979357,4.847314254732783,50.0,0.02,244
