seed,trial,x0_m,y0_m,x1_m,y1_m,force_target_N,force_mean_N,force_std_N,force_min_N,force_max_N,duration_s,sample_hz,dt_s,samples,ou_theta,ou_sigma,ou_initial_std
3805043844,1,0.13462155697040715,-0.12446018286357818,-0.13969895650049838,0.03938146882871851,13.77923724597849,13.675065765781223,0.2078446357897459,12.919612830435002,14.0788297296168,1.6436571845669952,50.0,0.02,84,8.0,0.6,0.5
3805043844,2,0.06990623647282079,-0.07546412571669389,0.10063875240511902,-0.147918205826695,16.667631894253166,16.704546878652057,0.20015920525323633,16.2795362892447,17.478638784551332,2.8751440838909734,50.0,0.02,145,8.0,0.6,0.5
3805043844,3,-0.14237753790284036,0.02365517028689096,-0.06096125751385416,0.09538077552472288,20.951202005447023,20.8528473876006,0.14356802277429104,20.516930632581282,21.176127648636843,3.3299160393130705,50.0,0.02,168,8.0,0.6,0.5
3805043844,4,0.09081120589759567,0.02885540974920478,-0.0533282812735755,0.0791138713704862,18.412760476537986,18.471315532656643,0.13560995711006435,18.25304474787897,18.78545320686619,1.3881545260095494,50.0,0.02,71,8.0,0.6,0.5
3805043844,5,-0.12542225084369726,0.02253297663481038,-0.037917711535315465,0.05482699100380711,21.231346682177943,21.272619188015828,0.20695194968251365,20.523710372203436,21.686565934523244,4.700090858601443,50.0,0.02,237,8.0,0.6,0.5
3805043844,6,0.03180238612517883,0.14799944582998456,0.019282060437206622,-0.03902496938344614,18.71621090626281,18.71133883548531,0.15676004158686366,18.288739519910884,19.174323144835984,3.8171938895863797,50.0,0.02,192,8.0,0.6,0.5
3805043844,7,0.04807557588305725,-0.04159142328315614,-0.08972389481560071,-0.12714104022342138,20.773579957931712,20.760626585746454,0.1678697093690115,20.302662621908638,21.10424336635585,4.277059988218756,50.0,0.02,215,8.0,0.6,0.5
3805043844,8,-0.0626443713667483,-0.11895625680088831,0.13520864660831752,0.10402378968103995,21.271119494321386,21.283085111932436,0.1696704475937043,20.94853384715562,22.161221289525983,1.7740655177306346,50.0,0.02,90,8.0,0.6,0.5
3805043844,9,0.10933687415481844,-0.02205871067591081,0.05997605414717788,-0.14363345994951718,21.937465775172527,21.926996532528886,0.1542735800286527,21.557765521340084,22.263686448134845,1.841021711549379,50.0,0.02,94,8.0,0.6,0.5
3805043844,10,0.09104482671550138,0.11686676639037216,0.1162724832093677,0.04061619208444214,27.602930713617727,27.5883641578466,0.1809702030369876,26.700018989747864,28.092440791749784,3.8124947223072803,50.0,0.02,192,8.0,0.6,0.5
