seed,trial,x0_m,y0_m,x1_m,y1_m,force_target_N,force_mean_N,force_std_N,force_min_N,force_max_N,duration_s,sample_hz,dt_s,samples,ou_theta,ou_sigma,ou_initial_std
1550682676,1,0.05907804488299609,-0.06740692828207132,-0.04558653632024556,0.03346711191986823,4.746569241706239,5.491833796472521,1.09065654414662,3.4898468514891365,8.149335879558196,4.941746433750804,50.0,0.02,249,2.5,2.5,1.0
1550682676,2,0.05303338234186225,0.053034052474003585,0.10662185490044376,-0.11860717304988333,7.746203980792636,7.952019200084068,0.6932210272270707,6.811347866417696,9.584269268674003,3.0545576130137255,50.0,0.02,154,2.5,2.5,1.0
1550682676,3,-0.14807143677375276,-0.044663877114588385,-0.04217613502493729,0.1307609578740134,24.15213793503793,23.866159494195344,0.931001693799734,22.201127850065703,26.37334798183169,3.0308936486781195,50.0,0.02,153,2.5,2.5,1.0
1550682676,4,-0.12052351075038122,0.010790424294822853,-0.13189450624162288,0.10502541152035169,8.80084445628264,8.936186794552812,1.2289213423148426,6.6786211552803385,11.870145993694189,2.867872572412449,50.0,0.02,145,2.5,2.5,1.0
1550682676,5,0.1453486876014489,0.1093296080586845,0.044646774636579234,0.13894935161795866,14.355088368194766,14.746615344441501,0.9224673024703423,12.895774428981293,16.241624750492736,1.5391024355229455,50.0,0.02,78,2.5,2.5,1.0
1550682676,6,-0.13385108313647542,0.03853648183333519,-0.018236643078749643,-0.08877383017490086,29.862191536681905,28.93617286474846,0.6258604885014533,27.177724089033802,30.0,1.259794230642397,50.0,0.02,64,2.5,2.5,1.0
1550682676,7,0.06627978226715883,0.06043009203423774,0.07136512911032206,0.002951766284850582,12.427566130191124,12.454887595710488,1.0617947741787324,10.46753231096781,15.076672432405456,4.738527756819959,50.0,0.02,238,2.5,2.5,1.0
1550682676,8,0.14537115102826367,-0.027578546052644176,0.028098790081831276,0.03245473732454446,7.691415145751898,7.9222320344861386,0.8254012816232403,6.242280007187069,9.4298612421382,2.1246453887252903,50.0,0.02,108,2.5,2.5,1.0
1550682676,9,-0.14826740813282005,-0.027894482931040382,-0.06137110094458216,0.022729709957225286,0.9878840585819848,1.8158001293822912,1.1658069889300933,0.0,4.136006482970276,1.9969103275262583,50.0,0.02,101,2.5,2.5,1.0
1550682676,10,-0.009218123476253032,0.0034172003296047693,-0.09123801339161361,0.05337590666669986,21.655149620637175,20.52562919941359,1.1526537394353613,18.41822301326662,22.55479342370765,3.2733571145149796,50.0,0.02,165,2.5,2.5,1.0
