seed,trial,x0_m,y0_m,x1_m,y1_m,force_target_N,duration_s,sample_hz,dt_s,samples
3666223592,1,0.11737493149273662,-0.04868846822901095,-0.06824202780304822,0.04769190074724522,28.97671718702304,1.9333334981188242,50.0,0.02,98
3666223592,2,0.07183034167404903,-0.04556207943778458,-0.013396645874209745,-0.05770256713637262,28.513745731877428,2.957601491465026,50.0,0.02,149
3666223592,3,-0.06913185989514264,0.03773906787735437,0.14959807927450228,-0.125622751276679,22.273053975730814,2.735355509969851,50.0,0.02,138
3666223592,4,-0.07158406844258837,-0.08676728120065237,0.11363544338124013,0.02449761590780583,28.32706085018274,2.1517885033821686,50.0,0.02,109
3666223592,5,-0.0700222919437439,0.021018950725943952,0.11609230041069166,-0.08605641005246284,13.82309695673867,4.673634359716007,50.0,0.02,235
3666223592,6,-0.08600019790734753,-0.07717378363491101,-0.08589754428769848,-0.04269906633531416,27.69272593797855,1.805332572060411,50.0,0.02,92
3666223592,7,0.11585663676331445,0.14323663282570534,0.0028772151145338154,0.1344759409241791,21.149729361542633,1.9891873936133346,50.0,0.02,101
3666223592,8,0.03400152304676468,-0.1162954094181104,-0.06969435078498311,0.1215747431024072,10.346373193123062,2.338774626871903,50.0,0.02,118
3666223592,9,0.12149813746738439,-0.10355981652896393,0.06979104003659906,0.10622405032839868,23.43606084819225,4.7004822683156515,50.0,0.02,237
3666223592,10,-0.08772516496616359,-0.06707582876454893,-0.053974805606593776,-0.013058270588075738,21.55655113775603,4.408248276581488,50.0,0.02,222
